# beta(deg),gamma(deg)
20.841,270.133
151.394,270.311
82.988,270.489
112.206,270.667
51.533,270.844
128.898,271.022
68.157,271.200
97.350,271.378
29.300,271.556
138.845,271.733
75.696,271.911
104.651,272.089
41.663,272.267
120.194,272.444
60.194,272.622
90.168,272.800
4.387,272.978
175.613,273.156
89.832,273.333
119.806,273.511
59.806,273.689
138.337,273.867
75.349,274.044
104.304,274.222
41.155,274.400
150.700,274.578
82.650,274.756
111.843,274.933
51.102,275.111
128.467,275.289
67.794,275.467
97.012,275.644
28.606,275.822
159.159,276.000
86.248,276.178
115.758,276.356
55.568,276.533
133.202,276.711
71.613,276.889
100.636,277.067
35.370,277.244
144.054,277.422
79.022,277.600
108.033,277.778
46.336,277.956
124.026,278.133
63.869,278.311
93.415,278.489
19.876,278.667
164.977,278.844
88.041,279.022
117.763,279.200
57.712,279.378
135.710,279.556
73.490,279.733
102.464,279.911
38.355,280.089
147.227,280.267
80.841,280.444
109.927,280.622
48.763,280.800
126.215,280.978
65.847,281.156
95.211,281.333
24.608,281.511
154.598,281.689
84.452,281.867
113.786,282.044
53.368,282.222
130.792,282.400
69.716,282.578
98.819,282.756
32.148,282.933
141.107,283.111
77.192,283.289
106.160,283.467
43.807,283.644
121.892,283.822
61.857,284.000
91.623,284.178
13.668,284.356
168.946,284.533
88.937,284.711
118.780,284.889
58.765,285.067
137.008,285.244
74.422,285.422
103.382,285.600
39.776,285.778
148.920,285.956
81.746,286.133
110.882,286.311
49.943,286.489
127.333,286.667
66.824,286.844
96.110,287.022
26.677,287.200
156.772,287.378
85.351,287.556
114.768,287.733
54.475,287.911
131.986,288.089
70.667,288.267
99.727,288.444
33.793,288.622
142.556,288.800
78.109,288.978
107.094,289.156
45.085,289.333
122.953,289.511
62.867,289.689
92.519,289.867
17.049,290.044
161.841,290.222
87.145,290.400
116.756,290.578
56.646,290.756
134.443,290.933
72.554,291.111
101.548,291.289
36.889,291.467
145.608,291.644
79.933,291.822
108.977,292.000
47.561,292.178
125.113,292.356
64.862,292.533
94.312,292.711
22.361,292.889
152.585,293.067
83.552,293.244
112.811,293.422
52.244,293.600
129.620,293.778
68.758,293.956
97.915,294.133
30.424,294.311
139.702,294.489
76.272,294.667
105.230,294.844
42.498,295.022
120.844,295.200
60.836,295.378
90.727,295.556
9.139,295.733
171.594,295.911
89.385,296.089
119.292,296.267
59.287,296.444
137.668,296.622
74.886,296.800
103.843,296.978
40.470,297.156
149.798,297.333
82.198,297.511
111.362,297.689
50.525,297.867
127.898,298.044
67.310,298.222
96.561,298.400
27.657,298.578
157.935,298.756
85.800,298.933
115.262,299.111
55.023,299.289
132.591,299.467
71.141,299.644
100.181,299.822
34.589,300.000
143.298,300.178
78.566,300.356
107.563,300.533
45.714,300.711
123.488,300.889
63.369,301.067
92.967,301.244
18.515,301.422
163.337,301.600
87.593,301.778
117.259,301.956
57.181,302.133
135.073,302.311
73.023,302.489
102.006,302.667
37.628,302.844
146.409,303.022
80.387,303.200
109.451,303.378
48.165,303.556
125.662,303.733
65.355,303.911
94.761,304.089
23.510,304.267
153.574,304.444
84.002,304.622
113.298,304.800
52.808,304.978
130.204,305.156
69.238,305.333
98.367,305.511
31.296,305.689
140.400,305.867
76.733,306.044
105.694,306.222
43.156,306.400
121.366,306.578
61.348,306.756
91.175,306.933
11.624,307.111
166.814,307.289
88.489,307.467
118.270,307.644
58.240,307.822
136.355,308.000
