# beta(deg),gamma(deg)
26.757,171.594
105.944,242.468
74.056,242.468
105.944,117.532
74.056,117.532
132.764,232.792
47.236,232.792
132.764,127.208
47.236,127.208
110.051,241.872
69.949,241.872
110.051,118.128
69.949,118.128
114.557,241.991
65.443,241.991
114.557,118.009
65.443,118.009
153.741,197.324
26.259,197.324
153.741,162.676
26.259,162.676
143.419,225.784
36.581,225.784
143.419,134.216
36.581,134.216
137.308,232.340
42.692,232.340
137.308,127.660
42.692,127.660
119.094,242.145
60.906,242.145
119.094,117.855
60.906,117.855
148.797,218.502
31.203,218.502
148.797,141.498
31.203,141.498
90.000,246.361
90.000,113.639
130.500,238.283
49.500,238.283
130.500,121.717
49.500,121.717
153.689,206.303
26.311,206.303
153.689,153.697
26.311,153.697
99.265,246.463
80.735,246.463
99.265,113.537
80.735,113.537
123.599,242.335
56.401,242.335
123.599,117.665
56.401,117.665
107.918,246.073
72.082,246.073
107.918,113.927
72.082,113.927
141.804,231.766
38.196,231.766
141.804,128.234
38.196,128.234
157.208,189.808
22.792,189.808
157.208,170.192
22.792,170.192
153.093,215.479
26.907,215.479
153.093,144.521
26.907,144.521
116.550,245.847
63.450,245.847
116.550,114.153
63.450,114.153
128.257,242.582
51.743,242.582
128.257,117.418
51.743,117.418
145.940,232.255
34.060,232.255
145.940,127.745
34.060,127.745
139.500,238.283
40.500,238.283
139.500,121.717
40.500,121.717
160.177,180.000
19.823,180.000
151.986,223.762
28.014,223.762
151.986,136.238
28.014,136.238
132.759,242.881
47.241,242.881
132.759,117.119
47.241,117.119
92.367,250.462
87.633,250.462
92.367,109.538
87.633,109.538
97.054,250.435
82.946,250.435
97.054,109.565
82.946,109.565
157.321,210.967
22.679,210.967
157.321,149.033
22.679,149.033
105.702,250.211
74.298,250.211
105.702,109.789
74.298,109.789
101.606,250.590
78.394,250.590
101.606,109.410
78.394,109.410
109.829,249.798
70.171,249.798
109.829,110.202
70.171,110.202
113.918,249.340
66.082,249.340
113.918,110.660
66.082,110.660
125.711,246.626
54.289,246.626
125.711,113.374
54.289,113.374
161.120,191.776
18.880,191.776
161.120,168.224
18.880,168.224
150.427,231.437
29.573,231.437
150.427,128.563
29.573,128.563
137.290,243.258
42.710,243.258
137.290,116.742
42.710,116.742
118.439,249.788
61.561,249.788
118.439,110.212
61.561,110.212
161.410,204.572
18.590,204.572
161.410,155.428
18.590,155.428
123.032,250.466
56.968,250.466
123.032,109.534
56.968,109.534
148.500,238.283
31.500,238.283
148.500,121.717
31.500,121.717
141.787,243.738
38.213,243.738
141.787,116.262
38.213,116.262
154.936,230.296
25.064,230.296
154.936,129.704
25.064,129.704
134.849,247.843
45.151,247.843
134.849,112.157
45.151,112.157
94.675,254.550
85.325,254.550
94.675,105.450
85.325,105.450
103.442,254.241
76.558,254.241
103.442,105.759
76.558,105.759
111.624,253.588
68.376,253.588
111.624,106.412
68.376,106.412
160.810,217.279
19.190,217.279
160.810,142.721
19.190,142.721
127.656,251.197
52.344,251.197
127.656,108.803
52.344,108.803
165.160,195.064
14.840,195.064
165.160,164.936
14.840,164.936
120.279,254.056
59.721,254.056
120.279,105.944
59.721,105.944
145.807,245.456
34.193,245.456
145.807,114.544
34.193,114.544
159.398,228.652
20.602,228.652
159.398,131.348
20.602,131.348
132.246,251.988
47.754,251.988
132.246,108.012
47.754,108.012
168.106,180.000
11.894,180.000
157.500,238.283
22.500,238.283
157.500,121.717
22.500,121.717
92.364,258.432
87.636,258.432
92.364,101.568
87.636,101.568
136.716,253.098
43.284,253.098
136.716,106.902
43.284,106.902
105.162,258.096
74.838,258.096
105.162,101.904
74.838,101.904
97.050,258.458
82.950,258.458
97.050,101.542
82.950,101.542
109.306,257.866
70.694,257.866
109.306,102.134
70.694,102.134
101.057,258.341
78.943,258.341
101.057,101.659
78.943,101.659
150.289,246.425
29.711,246.425
150.289,113.575
29.711,113.575
143.274,250.738
36.726,250.738
143.274,109.262
